"Branch Name";"Swift Code"
"UBS (FRANCE) S.A. – PARIS";"UBSWFRPPXXX"
"UNICREDIT BANK AG (HYPOVEREINSBANK) PARIS – PARIS";"HYVEFRPPXXX"
"UNICREDITO ITALIANO SPA – SUCCURSALE DE PARIS – PARIS";"UNCRFRPPXXX"
"UNION DE BANQUES ARABES ET FRANCAISES – NEUILLY SUR SEINE";"UBAFFRPPXXX"
"UNION TUNISIENNE DE BANQUES – MARSEILLE";"UTUBFRPPMAR"
"UNION TUNISIENNE DE BANQUES – PARIS";"UTUBFRPPXXX"
"UNION TUNISIENNE DE BANQUES – PARIS";"UTUBFRPPBEL"
"UNION TUNISIENNE DE BANQUES – PARIS";"UTUBFRPPPYR"
"VEOLIA ENVIRONNEMENT SA – PARIS";"VEOEFRPPXXX"
"VINCI CONSTRUCTION FRANCE – NANTERRE";"VCFRFRPPXXX"
"VINCI ENERGIES – MONTESSON";"VESAFR22XXX"
"VINCI HOLDING – RUEIL MALMAISON";"VINCFRPPXXX"
"VIVENDI – PARIS";"VIVEFRPPXXX"
"VTB BANK (FRANCE) S.A. – PARIS";"EUROFRPPXXX"
"WESTLB AG PARIS – PARIS";"WELAFRPPXXX"
"YVES ROCHER – ISSY LES MOULINEAUX";"YROCFRPPXXX"
